Designator,Footprint,Quantity,Value,LCSC Part #
A2,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"C40, C41, C42, C43, C44",0805,5,C,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D116, D117, D118, D119, D120, D121, D41, D77, D78, D79, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_DO-35_SOD27_P7.62mm_Horizontal,44,D,
"D115, D122, D123, D124, D125, D126, D127, D128, D129, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D80",SK6812MINI-E,38,SK6812MINI,
J2,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_14P,
S3,RKJXT1F42001,1,RKJXT1F42001,
S4,RKJXV122400R,1,RKJXV122400R,
"SW35, SW37, SW38, SW39, SW41, SW42, SW43, SW44, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW60, SW61, SW62, SW63, SW64, SW66, SW67, SW68, SW70, SW71, SW72, SW74, SW75",Hotswap_MX_1.00u,35,SW_Push,
SW65,Hotswap_MX_2.00u,1,SW_Push,
SW73,Hotswap_MX_1.00u,1,SHIFT,
SW76,Hotswap_MX_1.00u,1,SPACE,
U2,SOIC127P600X175-16N,1,MCP3008,
