Designator,Mid X,Mid Y,Rotation,Layer
A2,234.525729,-325.868691,0.0,top
C40,401.836275,-317.301829,90.0,bottom
C41,401.836275,-336.504971,90.0,bottom
C42,401.836275,-355.401861,90.0,bottom
C43,392.311267,-374.451877,90.0,bottom
C44,401.836275,-393.501893,90.0,bottom
D100,329.208089,-377.666564,90.0,top
D101,345.638731,-395.883145,0.0,top
D102,348.258105,-306.229004,90.0,top
D103,348.258105,-325.27902,90.0,top
D104,348.258105,-344.090914,90.0,top
D105,348.258105,-363.14093,90.0,top
D106,348.258105,-382.429068,90.0,top
D107,367.308121,-310.753386,90.0,top
D108,367.308121,-329.803402,90.0,top
D109,367.308121,-348.853418,90.0,top
D110,367.308121,-367.903434,90.0,top
D111,367.308121,-386.95345,90.0,top
D112,386.358137,-310.753386,90.0,top
D113,386.358137,-330.041524,90.0,top
D114,386.358137,-348.853418,90.0,top
D115,282.178362,-317.301829,0.0,bottom
D116,405.408153,-311.348699,90.0,top
D117,405.408153,-329.803402,90.0,top
D118,405.408153,-348.853418,90.0,top
D119,395.287832,-367.903434,90.0,top
D120,405.408153,-386.95345,90.0,top
D121,386.358137,-386.95345,90.0,top
D122,301.228378,-312.539325,0.0,bottom
D123,320.278394,-307.776821,0.0,bottom
D124,339.32841,-312.539325,0.0,bottom
D125,358.378426,-317.301829,0.0,bottom
D126,377.428442,-317.301829,0.0,bottom
D127,396.478458,-317.301829,0.0,bottom
D128,263.128346,-336.351845,0.0,bottom
D129,282.178362,-336.351845,0.0,bottom
D132,301.228378,-331.589341,0.0,bottom
D133,320.059646,-326.826837,0.0,bottom
D134,339.32841,-331.589341,0.0,bottom
D135,358.378426,-336.351845,0.0,bottom
D136,377.428442,-336.351845,0.0,bottom
D137,396.478458,-336.351845,0.0,bottom
D138,263.128346,-355.401861,0.0,bottom
D139,282.178362,-355.401861,0.0,bottom
D140,301.228378,-350.639357,0.0,bottom
D141,320.278394,-345.876853,0.0,bottom
D144,339.32841,-350.639357,0.0,bottom
D145,358.378426,-355.401861,0.0,bottom
D146,377.428442,-355.401861,0.0,bottom
D147,396.478458,-355.401861,0.0,bottom
D148,263.128346,-374.451877,0.0,bottom
D149,282.178362,-374.451877,0.0,bottom
D150,301.228378,-369.689373,0.0,bottom
D151,320.278394,-364.926869,0.0,bottom
D152,339.32841,-369.689373,0.0,bottom
D153,358.378426,-374.451877,0.0,bottom
D154,386.95345,-374.451877,0.0,bottom
D155,270.272102,-404.81284,60.0,bottom
D156,301.228378,-388.739389,0.0,bottom
D157,320.278394,-383.976885,0.0,bottom
D158,339.32841,-388.739389,0.0,bottom
D159,358.378426,-393.501893,0.0,bottom
D160,377.428442,-393.501893,0.0,bottom
D161,396.478458,-393.501893,0.0,bottom
D41,272.058041,-310.753386,90.0,top
D77,272.058041,-329.803402,90.0,top
D78,272.058041,-348.853418,90.0,top
D79,272.058041,-367.903434,90.0,top
D80,262.751781,-317.147142,0.0,bottom
D81,253.603338,-373.261251,90.0,top
D82,267.295537,-378.023755,0.0,top
D83,291.108057,-310.753386,90.0,top
D84,291.108057,-329.803402,90.0,top
D85,291.108057,-348.853418,90.0,top
D86,291.108057,-367.903434,90.0,top
D87,282.178362,-396.5633277884187,300.0,top
D88,279.79711,-378.023755,0.0,top
D89,310.158073,-305.990882,90.0,top
D90,310.158073,-325.040898,90.0,top
D91,310.158073,-344.090914,90.0,top
D92,310.158073,-363.14093,90.0,top
D93,310.158073,-382.190946,90.0,top
D94,316.468394,-388.739389,0.0,top
D95,329.208089,-392.311267,0.0,top
D96,329.208089,-301.228378,90.0,top
D97,329.208089,-320.278394,90.0,top
D98,329.208089,-339.32841,90.0,top
D99,329.208089,-358.378426,90.0,top
J2,223.051436,-374.112816,270.0,top
S3,241.385521,-398.086275,0.0,top
S4,257.92257400980304,-420.129366702699,30.0,top
SW35,262.98146,-311.944,0.0,top
SW37,262.98146,-330.994,0.0,top
SW38,262.98146,-350.044,0.0,top
SW39,262.98146,-369.094,0.0,top
SW41,282.03146,-311.944,0.0,top
SW42,282.03146,-330.994,0.0,top
SW43,282.03146,-350.044,0.0,top
SW44,282.03146,-369.094,0.0,top
SW46,301.08146,-307.1815,0.0,top
SW47,301.08146,-326.2315,0.0,top
SW48,301.08146,-345.2815,0.0,top
SW49,301.08146,-364.3315,0.0,top
SW50,301.08146,-383.3815,0.0,top
SW51,320.13146,-302.419,0.0,top
SW52,320.13146,-321.469,0.0,top
SW53,320.13146,-340.519,0.0,top
SW54,320.13146,-359.569,0.0,top
SW55,320.13146,-378.619,0.0,top
SW56,339.18146,-307.1815,0.0,top
SW57,339.18146,-326.2315,0.0,top
SW58,339.18146,-345.2815,0.0,top
SW59,339.18146,-364.3315,0.0,top
SW60,339.18146,-383.3815,0.0,top
SW61,358.23146,-311.944,0.0,top
SW62,358.23146,-330.994,0.0,top
SW63,358.23146,-350.044,0.0,top
SW64,358.23146,-369.094,0.0,top
SW65,358.23146,-388.144,0.0,top
SW66,377.28146,-311.944,0.0,top
SW67,377.28146,-330.994,0.0,top
SW68,377.28146,-350.044,0.0,top
SW70,396.33146,-311.944,0.0,top
SW71,396.33146,-330.994,0.0,top
SW72,396.33146,-350.044,0.0,top
SW73,386.794702,-369.09406,0.0,top
SW74,396.33146,-388.144,0.0,top
SW75,377.28146,-388.144,0.0,top
SW76,274.72896,-402.431588,300.0,top
U2,294.252179,-401.586603,30.0,top
