Designator,Mid X,Mid Y,Rotation,Layer
A1,187.775098,-325.738703,0.0,top
C35,35.123467,-316.111203,90.0,bottom
C36,35.123467,-392.158141,90.0,bottom
C37,35.123467,-373.108125,90.0,bottom
C38,35.123467,-354.058109,90.0,bottom
C39,35.123467,-335.314345,90.0,bottom
D1,54.173485,-312.300783,90.0,top
D10,92.273517,-326.588295,90.0,top
D11,111.323533,-321.825791,90.0,top
D12,130.373547,-326.826837,90.0,top
D13,149.423565,-331.350799,90.0,top
D14,168.473581,-331.588725,90.0,top
D15,54.173485,-350.400815,90.0,top
D16,73.223501,-350.400815,90.0,top
D17,92.273517,-345.638311,90.0,top
D18,111.323533,-341.113929,90.0,top
D19,130.373547,-345.876853,90.0,top
D2,73.223501,-312.300783,90.0,top
D20,149.423565,-350.400815,90.0,top
D21,168.473581,-350.400815,90.0,top
D22,54.173485,-369.450831,90.0,top
D23,73.223501,-369.450831,90.0,top
D24,92.273517,-364.688327,90.0,top
D25,111.323533,-359.806754,90.0,top
D26,130.373549,-364.569258,90.0,top
D27,149.423565,-369.331762,90.0,top
D28,169.068894,-369.331762,90.0,top
D29,54.173485,-388.500847,90.0,top
D3,92.273517,-307.538279,90.0,top
D30,73.223501,-388.500847,90.0,top
D31,92.273517,-383.976465,90.0,top
D32,111.323533,-378.85677,90.0,top
D33,130.373549,-383.976465,90.0,top
D34,143.53672144308902,-388.5587285389765,260.0,top
D35,41.67191,-397.669084,180.0,top
D36,60.721926,-397.669084,180.0,top
D37,79.53382,-393.501893,180.0,top
D38,102.393836,-388.739389,180.0,top
D39,111.918844,-388.977511,90.0,top
D4,111.323533,-302.775775,90.0,top
D40,142.279807,-378.619068,180.0,top
D42,45.24379,-317.896722,0.0,bottom
D43,64.293806,-317.896722,0.0,bottom
D44,83.343822,-313.134218,0.0,bottom
D45,102.393838,-308.371714,0.0,bottom
D46,121.443854,-313.134218,0.0,bottom
D47,140.49387,-317.742035,0.0,bottom
D48,159.543886,-317.896722,0.0,bottom
D49,45.24379,-336.946738,0.0,bottom
D5,130.373549,-307.538279,90.0,top
D50,64.293774,-336.946738,0.0,bottom
D51,83.343774,-332.184234,0.0,bottom
D52,102.393838,-327.42173,0.0,bottom
D53,121.443854,-332.029547,0.0,bottom
D54,140.493868,-336.947158,0.0,bottom
D55,159.543774,-336.946738,0.0,bottom
D56,45.24379,-355.996754,0.0,bottom
D57,64.293806,-355.996754,0.0,bottom
D58,83.343822,-351.23425,0.0,bottom
D59,102.393838,-346.471746,0.0,bottom
D6,149.423565,-312.300783,90.0,top
D60,121.443854,-351.23425,0.0,bottom
D61,140.49387,-355.996754,0.0,bottom
D62,159.543886,-355.996754,0.0,bottom
D63,45.839103,-375.04677,0.0,bottom
D64,64.293806,-375.04677,0.0,bottom
D65,83.343774,-370.284266,0.0,bottom
D66,102.393838,-365.521762,0.0,bottom
D67,121.443854,-370.284266,0.0,bottom
D68,140.49387,-375.04677,0.0,bottom
D69,159.543886,-375.04677,0.0,bottom
D7,168.473581,-312.300783,90.0,top
D70,45.243774,-394.096786,0.0,bottom
D71,64.293806,-394.096786,0.0,bottom
D72,83.343774,-389.334282,0.0,bottom
D73,102.393838,-384.571778,0.0,bottom
D74,121.443854,-389.334282,0.0,bottom
D75,151.804815,-405.408153,300.0,bottom
D8,54.173485,-331.588725,90.0,top
D9,73.223501,-331.946112,90.0,top
J1,199.025481,-374.451877,90.0,top
S1,177.631398,-397.35929,0.0,top
S2,163.03488400980305,-419.39144670269894,330.0,top
SW1,45.243774,-312.538725,0.0,top
SW10,83.343774,-326.826225,0.0,top
SW11,102.393774,-322.063725,0.0,top
SW12,121.443774,-326.826225,0.0,top
SW13,140.493774,-331.588725,0.0,top
SW14,159.543774,-331.588725,0.0,top
SW15,45.243774,-350.638725,0.0,top
SW16,64.293774,-350.638725,0.0,top
SW17,83.343774,-345.876225,0.0,top
SW18,102.393774,-341.113725,0.0,top
SW19,121.443774,-345.876225,0.0,top
SW2,64.293774,-312.538725,0.0,top
SW20,140.493774,-350.638725,0.0,top
SW21,159.543774,-350.638725,0.0,top
SW22,45.243774,-369.688725,0.0,top
SW23,64.293774,-369.688725,0.0,top
SW24,83.343774,-364.926225,0.0,top
SW25,102.393774,-360.163725,0.0,top
SW26,121.443774,-364.926225,0.0,top
SW27,140.493774,-369.688725,0.0,top
SW28,159.543774,-369.688725,0.0,top
SW29,45.243774,-388.738725,0.0,top
SW3,83.343774,-307.776225,0.0,top
SW30,64.293774,-388.738725,0.0,top
SW31,83.343774,-383.976225,0.0,top
SW32,102.393774,-379.213725,0.0,top
SW33,121.443774,-383.976225,0.0,top
SW34,147.478774,-402.663134,60.0,top
SW36,23.706274,-312.538725,180.0,top
SW4,102.393774,-303.013725,0.0,top
SW5,121.443774,-307.776225,0.0,top
SW6,140.493774,-312.538725,0.0,top
SW7,159.543774,-312.538725,0.0,top
SW8,45.243774,-331.588725,0.0,top
SW9,64.293774,-331.588725,0.0,top
U1,126.487465,-403.326679,330.0,top
VR1,21.431274,-360.163725,90.0,top
