Designator,Mid X,Mid Y,Rotation,Layer
A1,187.775098,-325.738703,0.0,top
A2,234.525729,-325.868691,0.0,top
C35,35.123467,-316.111203,90.0,bottom
C36,35.123467,-392.158141,90.0,bottom
C37,35.123467,-373.108125,90.0,bottom
C38,35.123467,-354.058109,90.0,bottom
C39,35.123467,-335.314345,90.0,bottom
C40,401.836275,-317.301829,90.0,bottom
C41,401.836275,-336.504971,90.0,bottom
C42,401.836275,-355.401861,90.0,bottom
C43,392.311267,-374.451877,90.0,bottom
C44,401.836275,-393.501893,90.0,bottom
D1,54.173485,-312.300783,90.0,top
D10,92.273517,-326.588295,90.0,top
D100,329.208089,-377.666564,90.0,top
D101,345.638731,-395.883145,0.0,top
D102,348.258105,-306.229004,90.0,top
D103,348.258105,-325.27902,90.0,top
D104,348.258105,-344.090914,90.0,top
D105,348.258105,-363.14093,90.0,top
D106,348.258105,-382.429068,90.0,top
D107,367.308121,-310.753386,90.0,top
D108,367.308121,-329.803402,90.0,top
D109,367.308121,-348.853418,90.0,top
D11,111.323533,-321.825791,90.0,top
D110,367.308121,-367.903434,90.0,top
D111,367.308121,-386.95345,90.0,top
D112,386.358137,-310.753386,90.0,top
D113,386.358137,-330.041524,90.0,top
D114,386.358137,-348.853418,90.0,top
D115,282.178362,-317.301829,0.0,bottom
D116,405.408153,-311.348699,90.0,top
D117,405.408153,-329.803402,90.0,top
D118,405.408153,-348.853418,90.0,top
D119,395.287832,-367.903434,90.0,top
D12,130.373547,-326.826837,90.0,top
D120,405.408153,-386.95345,90.0,top
D121,386.358137,-386.95345,90.0,top
D122,301.228378,-312.539325,0.0,bottom
D123,320.278394,-307.776821,0.0,bottom
D124,339.32841,-312.539325,0.0,bottom
D125,358.378426,-317.301829,0.0,bottom
D126,377.428442,-317.301829,0.0,bottom
D127,396.478458,-317.301829,0.0,bottom
D128,263.128346,-336.351845,0.0,bottom
D129,282.178362,-336.351845,0.0,bottom
D13,149.423565,-331.350799,90.0,top
D132,301.228378,-331.589341,0.0,bottom
D133,320.059646,-326.826837,0.0,bottom
D134,339.32841,-331.589341,0.0,bottom
